jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
326,喙,5599,U+E04D,0.53,0.54,0.00811789022217945,OK
327,會,6703,U+E18E,0.52,0.46,0.05324551195322505,OK
328,誨,8AA8,U+E0A1,0.52,0.48,0.034762106259212,OK
329,昏,660F,U+E1F5,0.54,0.41,0.11960990310323304,OK
330,圂,5702,U+E1E0,0.75,0.5,0.17609125905568124,OK_LOOSE
331,火,706B,U+E2DD,0.84,0.5,0.22530928172586284,OK_LOOSE
332,或,6216,U+E393,0.71,0.53,0.12698247911828622,OK
333,祸huo,,,,,,SEVERE
334,禍,798D,U+E01C,0.58,0.76,0.1173855987178541,OK
335,濩,6FE9,U+E326,0.58,0.85,0.16599093215135544,OK_LOOSE
336,獲,7372,U+E2D6,0.43,0.57,0.12240640009290486,OK
337,霍,970D,U+E126,0.62,0.7,0.05270635051600292,OK
338,穫,7A6B,U+E21C,0.4,0.5,0.09691001300805639,OK
339,镬,956C,U+E3DF,0.67,0.53,0.10179893310003736,OK
340,姬,59EC,U+E367,0.63,0.57,0.043465693781090345,OK
341,基,57FA,U+E3CC,0.76,0.44,0.23736091579460392,OK_LOOSE
342,僟ji,,,,,,SEVERE
343,箕,7B95,U+E153,0.62,0.38,0.21260809288144372,OK_LOOSE
344,雞,96DE,U+E116,0.65,0.69,0.02593573409439971,OK
345,及,53CA,U+E0CD,0.33,0.54,0.21387981994508107,OK_LOOSE
346,吉,5409,U+E058,0.62,0.82,0.12142216288546281,OK
347,彶,5F76,U+E080,0.53,0.75,0.150785393790911,OK_LOOSE
348,即,.537,,,,,SEVERE
349,亟,4E9F,U+E3C7,0.72,0.25,0.45939248775923086,WARN
350,疾,75BE,U+E240,0.72,0.52,0.1413291527964693,OK
351,集,96C6,U+E128,0.48,0.5,0.017728766960431602,OK
352,耤,8024,U+E14E,0.63,0.73,0.0639823106668742,OK
353,己,5DF1,U+E407,0.87,0.76,0.058705660337827134,OK
354,丮,4E2E,U+E0BF,0.54,0.72,0.12493873660829989,OK
355,挤ji,,,,,,SEVERE
356,旡,65E1,U+E474,0.4,0.62,0.1903316981702914,OK_LOOSE
357,季,5B63,U+E410,0.47,0.83,0.2469802344403564,OK_LOOSE
358,既,65E2,U+E184,0.61,0.52,0.06932649137596782,OK
359,洎,6D0E,U+E32B,0.73,0.5,0.1643528557844371,OK_LOOSE
360,祭,796D,U+E012,0.67,1.05,0.1951144963691116,OK_LOOSE
361,跽,8DFD,U+E08B,0.78,0.52,0.17609125905568124,OK_LOOSE
362,穧,7A67,U+E461,0.53,0.36,0.1679733688335018,OK_LOOSE
363,霽,973D,U+E343,0.72,0.44,0.21387981994508098,OK_LOOSE
364,夾,593E,U+E2ED,0.45,0.62,0.1391791757229102,OK
365,佳jia,,,,,,SEVERE
366,家,5BB6,U+E227,0.63,0.59,0.028488537811437533,OK
367,嘉jia,,,,,,SEVERE
368,豭,8C6D,U+E2B6,0.49,0.68,0.14231283267772274,OK
369,甲,7532,U+E400,0.88,0.54,0.2120889123272001,OK_LOOSE
370,斝,659D,U+E3E7,0.79,0.67,0.07155228858961502,OK
371,戔,6214,U+E399,0.61,0.68,0.04717907769546932,OK
372,缄jian,,,,,,SEVERE
373,監,76E3,U+E273,0.61,0.48,0.10408859763517979,OK
374,艱,8271,U+E3D2,0.63,0.88,0.1451421226965869,OK
375,麉jian,,,,,,SEVERE
376,見,898B,U+E28A,0.53,0.65,0.08863748704206653,OK
377,姜,59DC,U+E366,0.4,0.64,0.2041199826559248,OK_LOOSE
378,畕,7555,U+E3D7,0.84,0.59,0.15342727441973747,OK_LOOSE
379,彊,5F4A,U+E3A8,0.68,0.59,0.06165690106409214,OK
380,疆,7586,U+E3D8,0.6,1.11,0.26717172840301384,OK_LOOSE
381,弜,5F1C,U+E3AB,0.45,0.57,0.10266234189714765,OK
382,降,964D,U+E3F3,0.51,0.37,0.13936845203094142,OK
383,洚,6D1A,U+E313,0.56,0.78,0.14390657568427997,OK
384,將,5C07,U+E435,0.43,0.61,0.1518613794311805,OK_LOOSE
385,交,4EA4,U+E2F4,0.54,0.54,0.0,OK
