glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,svg
924,直,76F4,in_simplified_set,unicode_encoded,zhi,0924.svg
925,亡,4EA1,in_simplified_set,unicode_encoded,wang,0925.svg
926,乍,4E4D,traditional_or_variant,unicode_encoded,zha,0926.svg
927,匈,5308,traditional_or_variant,unicode_encoded,xiong,0927.svg
928,區,5340,in_simplified_set,unicode_encoded,qu,0928.svg
929,医,533B,in_simplified_set,unicode_encoded,yi,0929.svg
930,匚,531A,in_simplified_set,unicode_encoded,fang,0930.svg
931,匡,5321,in_simplified_set,unicode_encoded,kuang,0931.svg
932,匬,532C,traditional_or_variant,unicode_encoded,yu,0932.svg
933,甾,753E,in_simplified_set,unicode_encoded,zai,0933.svg
934,弓,5F13,in_simplified_set,unicode_encoded,gong,0934.svg
935,彊,5F4A,in_simplified_set,unicode_encoded,jiang,0935.svg
936,弘,5F18,in_simplified_set,unicode_encoded,hong,0936.svg
937,彈,5F48,in_simplified_set,unicode_encoded,dan,0937.svg
938,弜,5F1C,traditional_or_variant,unicode_encoded,jiang,0938.svg
939,系,7CFB,in_simplified_set,unicode_encoded,xi,0939.svg
940,孫,5B6B,in_simplified_set,unicode_encoded,sun,0940.svg
941,糸,7CF8,in_simplified_set,unicode_encoded,mi,0941.svg
942,絶,7D76,traditional_or_variant,unicode_encoded,jue,0942.svg
943,續,7E8C,traditional_or_variant,unicode_encoded,xu,0943.svg
944,紹,7D39,in_simplified_set,unicode_encoded,shao,0944.svg
945,紊,7D0A,in_simplified_set,unicode_encoded,wen,0945.svg
946,終,7D42,in_simplified_set,unicode_encoded,zhong,0946.svg
947,緑,7DD1,in_simplified_set,unicode_encoded,lv,0947.svg
948,紟,7D1F,in_simplified_set,unicode_encoded,jin,0948.svg
949,編,7DE8,in_simplified_set,unicode_encoded,bian,0949.svg
950,紂,7D02,traditional_or_variant,unicode_encoded,zhou,0950.svg
951,綏,7D8F,in_simplified_set,unicode_encoded,sui,0951.svg
952,彝,5F5D,in_simplified_set,unicode_encoded,yi,0952.svg
953,絲,7D72,in_simplified_set,unicode_encoded,si,0953.svg
954,率,7387,in_simplified_set,unicode_encoded,lv,0954.svg
955,虫,866B,in_simplified_set,unicode_encoded,chong,0955.svg
956,蜀,8700,in_simplified_set,unicode_encoded,shu,0956.svg
957,虹,8679,in_simplified_set,unicode_encoded,hong,0957.svg
958,昆,6606,traditional_or_variant,unicode_encoded,kun,0958.svg
959,蠱,8831,in_simplified_set,unicode_encoded,gu,0959.svg
960,風,98A8,in_simplified_set,unicode_encoded,feng,0960.svg
